question1,question2,label
肌酐多少不能使用沙库巴曲缬沙坦,对于CKD早期患者需要通过减少肾小球囊内压来减少尿蛋白，那ARNI平衡肾血流的作用如何带来蛋白尿减少的获益？,0
硝苯地平片说明书,复方樟脑乳膏说明书-北京宝树堂科技药业,0
硝苯地平片说明书,纳欣同说明书-浙江泰利森药业,0
身体接触是否会传染艾滋病,接触艾滋病人，是否会被传染,1
2022年血脂异常标准,高脂血症合并高血压血脂目标水平？,0
肠癌@土豆,肠梗阻是怎么引起的,0
糖尿病发抖身体发冷是什么原因,糖尿病人浑身发冷是怎么回事。,1
乳腺癌前期有什么症状,乳腺癌前期有什么样的症状,1
慢性咽炎如何吃药不反复,使用普米克®令舒®出现常见的不良反应难以耐受怎么办?是否可以停药？,0
颈椎病能否引起高血压,颈椎病和高血压的关系？,1
舌头发白是艾滋病吗,舌头上发白和艾滋病有关系吗,1
"现在肺炎能治好吗,大概多少钱",肺炎治好大概要花多少钱,1
糖尿病女人做流产有危险吗,糖尿病人可以做流产吗,1
早晨血压高,早晚血压差多少正常,0
银黄颗粒治上呼吸道感染吗,银黄颗粒可以治疗上呼吸道感染吗,1
过敏性哮喘怎么办才能好呢?,如何治疗过敏性哮喘,1
rop治疗文献,雷珠单抗注射后快速耐受的临床数据,0
没有得过胸膜炎怎么会胸膜增厚,没有得过胸膜炎胸膜增厚怎么回事,1
晕车吃三九感冒灵管用吗,晕车能吃三九感冒灵吗,1
小儿支原体肺炎，需要如何治疗?,该如何治疗小儿支原体肺炎？,1
口腔感染医生说是厌氧菌所致的怎么办,口腔感染医生说是厌氧菌所致的怎么处理？,1
降血脂,高脂血症合并高血压血脂目标水平？,0
乳房有肿块是不是乳腺癌,乳房有肿块一定是得了乳腺癌吗？,1
ADA,糖尿病合并LEAD的诊断是什么？,0
糖尿病怎么控制最好,糖尿病应该怎么控制血糖,1
泛福舒的原理是什么,普米克®令舒®治疗支气管哮喘的作用机制是什么？,0
1.3司库奇尤单抗推荐用法用量,司库奇尤单抗使用禁忌及注意事项,0
年轻人高血压吃什么药好,高血压吃什么药较好,1
你好，嗓子疼吃克拉霉素分散片可以吗？,你好，克拉霉素片嗓子疼可以吃吗？,1
如何形成的乳腺癌,如何形成的乳腺癌也？,1
硝苯地平说明书,利焕说明书-南京白敬宇制药,0
怎么进行肺养护,怎样对哮喘患者进行综合护理？,0
司库奇尤单抗 相互作用,司库奇尤单抗药物相互作用的可能性,1
为什么达格列净用于改善血糖控制的推荐起始剂量是5mg，非10mg,安达唐（达格列净）是一种什么药物？,0
OREO研究,服用利普卓/奥拉帕利治疗过程中出现血液学毒性怎么办？,0
淋巴瘤是否可以用可善挺,伴有恶性肿瘤的患者使用司库奇尤单抗的注意事项,1
糖尿病的治疗药物有哪些,糖尿病吃什么药,1
上呼吸道感染 一到下午头痛加重怎么办？,上呼吸道感染一到下午头痛加重可以用哪些药？,0
有关血透护理方面或者血透病人饮食，注意事项方面的患教会ppt,安达唐使用禁忌？,0
咳嗽变异性哮喘不能吃什么,咳嗽变异性哮喘饮食方面如何护理,1
乳腺增生可以根治吗,乳腺增生能治好吗？,1
糖尿病引起的肾病注意饮食什么,糖尿病肾病饮食的治疗原则是什么？,1
PCV抗vegf治疗疗效,雷珠单抗联合光动力疗法治疗PCV的有效性和安全性,0
高血压是否要终身服药,有医生说得了高血压就要终身吃药是吗？,1
肺气肿的护理要怎么做？,肺气肿的护理措施要怎么做？,1
阿尔法受体阻滞剂,波依定治疗高血压的机理是什么?,0
糖尿病最新指南,糖尿病能不能痊愈？,0
银屑病防治指南,银屑病患者重启生物制剂的用药方法建议,0
擤鼻涕把耳朵堵了怎么办,擤鼻涕把耳朵堵了应该怎么办,1
孕妇是乙肝病毒携带者，可以给孩子喂奶吗,乙肝孕妇可以给小孩喂奶吗,1
糖尿病的治疗秘方,糖尿病，饮食应注意什么，不能吃哪些食物,0
1型糖尿病患者能不能生孩子？会对孩子有什么影响？,一型糖尿病患者能要小孩吗?,1
哺乳期感冒怎么治疗最好,哺乳期感冒有什么好的治疗办法,1
得了艾滋病的人一般能活多久,艾滋还能活多久,1
视网膜分层,雷珠单抗治疗视网膜血管瘤样增生的临床证据,0
高血压上压到135需要吃药？,什么是高血压性心脏病,0
2型糖尿病的治疗方案,2型糖尿病怎么治,1
临床证据,雷珠单抗治疗亚洲近视性CNV患者的临床数据,1
可定适应症,心力衰竭合并冠心病患者该如何治疗？,0
心痛要注意什么,心脏病心痛怎么办,1
1型糖尿病怎么弄,如何判断是否有糖尿病,0
13价肺炎疫苗是不是终身免疫?,13价肺炎疫苗终生有效吗,1
硝苯地平片说明书,盐酸多巴酚丁胺注射液说明书-山东方明药业集团股份,0
妊娠,有妊娠需求的女性患者/哺乳期妇女使用司库奇尤单抗的注意事项,0
安达唐可以降血脂吗,安达唐的价格是多少？,0
160信必可维持治疗,怎么知道信必可都保快用完了？,0
哮喘一个月多了，夜里反复怎么办,哮喘一个月多了，夜里反复该如何是好？,1
结核胸膜炎x光会显示吗,结核胸膜炎x光能看出来么,1
吃安达唐要注意什么吗,安达唐在使用过程中有哪些重要的注意事项？,1
支架后多久能运动,室间隔缺损介入治疗后多久能剧烈运动,1
糖尿病人能吃菠萝吗,糖尿病患者吃什么对身体益处最大？特仑苏,0
pcv稳定息肉,脉络膜新生血管（CNV）疾病概述及病因,0
ARNI降低夜间高血压比ARB更优，机制是什么？,高血压和哪个NP关系最密切？,0
我国最常见的咯血原因是什么?,我国主要的咯血原因是什么?,1
信必可的使用禁忌,信必可都保是治疗什么疾病的？,0
高血压如何预防,怎样防治高血压,1
AMD治疗方案,nAMD患者应答不佳及换药临床研究数据,0
雷珠单抗持续作用时间,雷珠单抗个体化给药方案描述以及相关研究,0
乳腺癌早期有可能有哪些症状,乳腺癌通常早期的症状有哪些？,1
肺气肿病人吃什么食物较好?,吃什么食物对肺气肿好？,1
新冠是否可以打可善挺,司库奇尤单抗治疗过程中可同时接种新冠疫苗吗,0
新型冠状肺炎发热多少度,新型冠状病毒肺炎体温发热多少,1
冠心病联合用药后的注意事项？,对于慢阻肺患者，吸入性糖皮质激素和长效β2受体激动剂联合疗效较单用吸入性糖皮质激素或单用长效β2受体激动剂如何？,0
口腔感染医生说是厌氧菌所致的怎么办,口腔感染医生说是厌氧菌所致的该如何是好？,1
慢性心衰长期管理？,老年心衰患者可以进行运动康复吗？,0
奥拉帕利常见不良反应,使用信必可都保会出现哪些不良反应？,0
小儿上呼吸道感染的原因有哪些？,小儿上呼吸道感染的病因是什么？,1
胸膜炎会引起输卵管堵塞吗,胸膜炎有可能引起输卵管堵塞吗,1
乳腺增生和乳腺癌有什么区别,我想问下乳腺增生和乳腺癌区别？,1
胸闷和高血压有关系吗,胸闷气短与高血压的关系,1
慢阻肺患者可以用硫酸沙丁胺醇吸入气雾剂,儿童和青少年是否可以使用格隆溴铵福莫特罗吸入气雾剂？,0
我小孩一岁半了咳嗽加哮喘怎么办,儿童咳嗽加哮喘怎么治疗？,1
乳腺癌手术后还能活多久,乳腺癌做完手术还能活多久？,1
孕妇感冒喝姜汤红糖水行吗,怀孕3个月妈妈感冒可以喝姜汤红糖水吗,1
乳腺癌的分期是怎么回事,乳腺癌是怎么回事的？,0
诺适得半衰期和血药浓度,雷珠单抗药代动力学信息,0
宝宝吃过东西就吐，怎么办？,宝宝吃过东西就吐是扁桃体发炎了吗？,0
在之前的孕检中，我检查出是妊娠高血压，我想要了解一下妊娠高血压在饮食方面需要注意什么？,中老年高血压要注意些什么？应该吃些什么药？,0
你好我想知道百令胶囊是怎么吃的？,你好我想知道怎么服用百令胶囊？,1
安达唐的适应症,如果出现急性加重，是否可以使用布地格福吸入气雾剂,0
口jiao会感染艾滋病吗,口爆会不会感染艾滋病,1
胸膜炎治好后胸痛是复发了吗,胸膜炎治好后胸痛是复发的症状吗,1
请问空腹血糖高可以吃什么药？,糖尿病用药有哪些,0
司库奇尤单抗有哪些药物相互作用,司库奇尤单抗与其它生物制剂同时使用的有限数据（度普利尤单抗、奥马珠单抗、PD-1抑制剂）,0
司库奇尤单抗储存,司库奇尤单抗使用的贮存条件和有效期,1
慢阻肺的分级,慢阻肺的主要临床表现有哪些？,0
诺欣妥 治疗效果如何,ARNI在指南中的推荐,0
使用糖皮质激素的银屑病患者如何治疗,生物制剂治疗银屑病的维持治疗与停药时机,0
请问肺气肿能办慢性病门诊治疗吗？,肺气肿吃什么补品好？,0
两岁半宝宝复方鲜竹沥液怎么用20ML,两岁半宝宝复方鲜竹沥液一次喝20ML吗,1
哺乳期感冒吃什么药能好？,哺乳期感冒吃什么药好呢？,1
乐达非热毒平颗粒可以治疗什么病,乐达非热毒平颗粒可以治疗那种病,1
尿糖高是什么原因,糖尿病的病因有哪些？,0
雷珠单抗的禁忌症是什么,雷珠单抗处方组成,0
我想知道奥拉帕利说明书的生产日期在哪里标注有效期多久,倍他乐克缓释片有效期有多久？,0
小孩肺炎有什么好的偏方吗?,小儿肺炎的偏方是什么,1
请问右上腹肋间痛是胸膜炎吗？,请问右上腹肋间痛是不是胸膜炎？,1
23价肺炎疫苗需要多少钱,23价肺炎疫苗老人打几次,0
中国慢性肾脏病专家共识,使用ARNI出现高钾的情况比ARB少，其原理是什么？高血压合并CKD在使用ARNI后有部分患者出现高钾，那么哪部分人群易发生高钾？是否有实验研究进行统计过?,0
过敏性哮喘治疗偏方有什么?,治疗过敏性哮喘的偏方有哪些,1
艾滋病会不会通过蚊子传播,如果蚊子先叮咬艾滋病得患者然后在叮咬你得话会不会定艾滋病呢,1
高血压合并糖尿病如何控制饮食,高血压患者突然发病要如何处理？,0
哮喘的病人需要注意什么,哮喘患者人群自我管理的工具有哪些？,1
罗红霉素长时间吃会有什么副作用吗,罗红霉素长时间服用有什么影响,1
排卵期感冒了，对怀孕有影响吗,排卵期感冒了，能怀孕吗,1
可以注射可善挺吗？,司库奇尤单抗推荐用法用量,0
张医生您好；请问高血压不能吃肥肉，能吃鸡鸭肉和鱼吗？能不能吃辣椒呢？,高血压能吃鸡肉鸭肉吗,1
上呼吸道感染是什么疾病？,什么是上呼吸道感染,1
治疗过敏性哮喘吃什么药好?,什么方法治过敏性哮喘效果好,0
糖尿病的人能吃什么蔬菜,糖尿病前兆是什么有潜伏期吗？,0
咳嗽变异性哮喘需要长期用药吗,咳嗽变异性哮喘需要用药很长时间吗,1
安立格成分,安立格主要成份是什么？,1
你好：请问我老公有高血压，一直在吃缬沙坦氨氯地平片，我意外怀孕了，对胎儿有没有影响吗？？,高血压如何分类用药,0
儿童 雷珠单抗,雷珠单抗在肝损害患者中的使用,0
过敏性紫癜,银屑病患者停用司库奇尤单抗患者是否会复发,0
感冒不停打喷嚏应该怎么办,感冒不停打喷嚏怎么办才好,1
胸膜炎在复查阶段咳嗽请问是什么毛病,胸膜炎在复查阶段咳嗽是哪种病？,1
波依定的规格,康士得是什么样的？有哪些规格？,0
英飞凡说明书哪里可以看见,布地格福吸入气雾剂有哪些规格？,0
上呼吸道感染 一到下午头痛加重怎么办？,下午头痛加重并且一直上呼吸道感染怎么办？,1
信必可都宝320规格在美国fda有审批吗,安立泽标准剂量是什么？,0
高血压10年需要长期一种药好吗,高血压患者常期服用一种药行吗,1
注射后皮肤脱皮处理,注射部位若出现红肿、瘙痒等皮肤反应，是否会影响疗效，应如何处理,1
可善挺治疗银屑病的效果,司库奇尤单抗治疗中国银屑病人群的结果,1
胸膜炎的症状该吃什么药,胸膜炎的症状该吃哪种药,1
直肠癌应该如何注意饮食调理,肠息肉内镜手术后的饮食注意什么,0
糖尿病什么不能吃@25984983824893508,1型糖尿病吃什么好,0
上呼吸道感染咳嗽如何治疗?,如何治疗因上呼吸道感染引起的咳嗽？,1
超敏c反应蛋白高可以使用生物制剂吗？,司库奇尤单抗推荐用法用量,0
ckd的病因是什么,肾功能损伤的患者可以使用倍他乐克缓释片吗？,0
诺适得注射方法,玻璃体腔注射用针的要求,0
司库奇尤单抗影响生育功能吗,司库奇尤单抗对男性生育能力的影响及潜在配偶暴露,1
司库奇尤单抗用药注意事项,使用司库奇尤单抗前，需要做哪些检查,0
糖尿病人什么情况下用胰岛素,糖尿病对孕妇的危害有哪些,0
Ribociclib和曲美替尼[CTMT212X2106],Ribociclib的联合治疗,0
请问慢肺阻慢病可以下那些药,门诊和住院慢阻肺急性加重患者如何选择初始经验性抗菌治疗？,0
感冒了吃药时可以喝茶叶水吗？,感冒了吃药时喝茶叶水可以吗？,1
即时激光,雷珠单抗的超敏反应发生率,0
玻璃体腔注射质控标准,我国视网膜玻璃体腔注药术质量控制标准,1
诺欣妥用于高血压的用法用量,沙库巴曲缬沙坦对收缩压和舒张压有什么影响？,0
倍择瑞禁忌症,芙仕得的禁忌症有哪些？,0
为什么医生都说肺气肿很严重,医生都说肺气肿很严重是什么原因？,1
AS,强直性脊柱炎患者持续使用司库奇尤单抗的疗效维持时间,0
哪个医院做心脏瓣膜置换术比较强,微创心脏瓣膜置换手术好吗,0
雷珠单抗按需治疗（PRN）治疗方案,雷珠单抗PRN治疗,1
高血压与心肌炎有什么关系,心肌炎和高血压有关系吗,1
尖锐湿疣会引发艾滋病吗,我又尖锐湿疣，我能吃阿昔洛韦片吗我有hiv让我还应该怎么办,0
长期的咳嗽是怎么回事，一定是哮喘吗？,长期的咳嗽是什么情况，必然是哮喘吗？,1
博利康尼有片剂吗,泛福舒是哪里产的？,0
肺栓塞的概念,慢阻肺的并发症有哪些？,0
刻康消炎片功能主治主要是什么呢,刻康消炎片可以治什么病,1
柚子皮能治疗乙肝吗,柚子皮治乙肝偏方,1
哺乳期妇女 司库奇尤单抗,合并肝损害的患者使用司库奇尤单抗,0
支气管炎和哮喘有什么区别,支气管炎和哮喘有什么征兆？,0
2016年急性冠脉综合征中国专家共识,慢性阻塞性肺疾病（COPD）会不会引发心血管疾病？,0
肿瘤风险,司库奇尤单抗发生心血管事件的风险,0
倍林达什么时候吃,伊伐布雷定的使用方法是什么？,0
乳腺增生有哪些症状,乳腺增生的症状是什么样的啊？,1
宝宝有透明粘鼻涕怎么办,宝宝有透明粘鼻涕有什么方法,1
乳腺癌早期怎么办,早期的乳腺癌怎么样治疗？,1
肺气肿和肺炎有什么区别,怎么区别肺气肿和肺炎？,1
尿酮体阳性,高血压可能引起肾脏损害吗？,0
总是干咳晚上比较严重用哪种药物可以康复,晚上干咳很严重吃什么药可以快速康复,1
你好我有高血压的高血糖吃铁皮石斛有用吗,高血压能吃黄芪吗会有用吗,0
诊断了房颤，日常生活要注意什么,心房纤颤有什么禁忌,1
回吸鼻涕带血的问题怎么回事,回吸鼻涕中带血是怎么回事,1
感冒并发腰痛、全身刺痛怎么回事,感冒并发腰痛、全身刺痛什么情况？,1
早产儿感冒怎么办，时间就一个月了,早产儿现在刚一个月感冒了如何是好？,1
乙肝大三阳病毒量高需要治疗吗肝功正常谢谢,乙肝大三阳肝功能正常，病毒量高可需要治疗,1
银屑病患者血沉高，无其他明显诱因，皮损处于消退期，是否可以使用司库奇尤单抗,司库奇尤单抗常见不良反应,0
asd,房间隔缺损4mm,1
Protocol T 研究,PrONTO研究,0
你好嗓子不舒服能不能吃阿莫西林胶囊,你好嗓子不舒服能吃阿莫西林胶囊吗,1
胸膜炎抽水后十年会复发吗？,胸膜炎抽水后十年复发的可能性大吗,1
孕妇感冒，咽喉肿痛，能按哪些穴位,孕妇感冒，咽喉肿痛，不能按那些穴位,1
高钾血症最新指南,高血压患者应该选择什么类型的食盐？,0
我的糖尿病是否要打胰岛素,请问一下患了糖尿病是不是都要用胰岛素,1
安达唐对肾脏的作用,瑞格列奈适合什么样的糖尿病患者，之前检查出肾功能不太好，很多降血糖的药都不能用，医生开的这个药能用吗，是怎么起效的?,0
为什么最近几年乳腺癌的发病率逐年提高呢,为什么会得乳腺癌呢？？,0
哮喘用药多久可以停药,停用布地格福吸入气雾剂，再次使用前需要注意什么？,0
安立格剂量,安立格是如何发挥作用的？,0
糖尿病怎样运动治疗,糖尿病的运动治疗原则,1
司库奇尤单抗效果,ERASURE研究,0
如何防治艾滋病,有关艾滋病防治的问题,1
肾功能不全,一图读懂 | 银屑病患者肾功能异常及生物制剂管理,0
宝宝流黄色的粘稠鼻涕怎么办,宝宝流黄色的粘稠鼻涕如何是好,1
糖尿病能生育孩子吗？,糖尿病妇女能怀孕吗,1
糖尿病昏迷的鉴别,糖尿病昏迷的原因及处理,1
我的糖尿病如何用药,糖尿病人得了怎么用药,1
使用司库奇尤单抗，出现转氨酶低,司库奇尤单抗使用的贮存条件和有效期,0
小儿咽扁颗粒和罗红霉素颗粒能一起吃吗,小孩子咽扁颗粒和罗红霉素颗粒可以一块吃吗,1
患者小三阳可以打司库奇尤吗,合并肝损害的患者使用司库奇尤单抗,0
Ribo到达稳态的时间,Ribociclib在人体中的代谢,1
z怎么预防糖尿病,糖尿病怎么防治？,1
玻璃体注射,玻璃体腔注药术前注射医师及手术间的准备,0
乳腺癌脑转移的患者能活多久,乳腺癌一期能活多久？,0
罗沙司他现在对于CKD肾性贫血，哪一期用效果的比较分析有明确依据或者定论吗？,安达唐能治疗什么类型的肾病？,0
肺炎输液期间吃辣椒会影响消炎吗？,肺炎输液期间吃辣椒对消炎有影响吗？,1
小孩细菌性感冒要几天才能好,小孩细菌性感冒能自己痊愈吗,0
艾滋病会通过接吻传染吗,与艾滋病人接吻会感染上吗,1
沙库巴曲缬沙坦在射血分数保留方面的研究,沙库巴曲缬沙坦逆转心脏重构的机制,0
咳嗽与哮喘有什么关系？,咳嗽与哮喘之间有什么联系？,1
二甲双胍注意事项,二甲双胍饭前吃还是饭后吃,0
慢阻肺与肺气肿这两种疾病有什么区别？,慢阻肺和肺气肿的不同体现在哪里,1
眼部有几块肌肉,雷珠单抗联合激光光凝术治疗,0
肺气肿的早期症状有哪些?,初期肺气肿要不要紧？,0
小儿支原体肺炎护理需要注意什么？,小儿支原体肺炎护理有什么注意事项？,1
硝苯地平片说明书,复方脑蛋白水解物片说明书-辽源誉隆亚东药业,0
糖尿病吃哪种中成药好,糖尿病有哪些中成药,1
如何判断糖尿病嗎？,如何判断得了糖尿病,1
PDR 共识,增生期糖尿病视网膜病变的干预指南,0
什么是绝经后状态,MONALEESA-2 研究如何定义绝经后状态,1
博士是什么,雷珠单抗分子特征,0
QT间期延长怎么处理,使用 Ribociclib 导致发生 QT 延长的概率如何？如何做监测？禁忌症有哪些,1
气短的原因,引起儿童肺炎的原因,0
孕妇感冒了，对胎儿有影响吗？,怀孕前一个月能喝板蓝根治感冒吗?,0
请教一下如果需要做研究银屑病的课题有什么建议,银屑病患者如何更换生物制剂,0
乙肝病人可以用可善挺吗,合并肝损害的患者使用司库奇尤单抗,1
结直肠癌预后,结肠癌预后怎么样,1
糖尿病与动脉硬化症怎样治疗？,壬辰糖尿病可以治愈吗,0
18岁以下青少年眼底注药,玻璃体腔注射前是否需要扩张瞳孔,0
男性为什么会得乳腺癌,年轻人为什么会得乳腺癌,0
消化道出血,高血压脑出血能治愈吗,0
艾滋病会不会通过蚊子传播,脚上有个出血的伤口今天被蚊子正好咬那了，不会得艾滋病吧，担心,1
肺气肿可以喝补肺丸吗？,肺气肿用补肺丸来治疗的效果咋么样,1
畸胎瘤患者可以用可善挺吗？,在治疗强直性脊柱炎方面，司库奇尤单抗与肿瘤坏死因子抑制剂疗效的比较,0
乳腺癌转移到脑部怎么办,乳腺癌转移到大脑了，该怎么办,1
感冒挂什么科外科还是内科,感冒挂外科还是内科,1
糖尿病人白内障能否手术,糖尿病人白内障能做手术吗,1
硝苯地平片说明书,阿替洛尔片说明书-世贸天阶制药(江苏),0
盆腔炎的临床症状表现是什么？,盆腔炎有什么样的临床表现症状呢？,1
乳腺癌晚期还能治好吗,乳腺癌到晚期还可能治疗好吗？,1
PrONTO研究全文,PrONTO研究,1
请问顺尔宁是用于什么疾病的,请问顺尔宁有哪些适应症？,1
糖尿病怎么治疗和调理,糖尿病三个加号怎么治疗？,0
糖尿病肾病有什么办法,糖尿病肾病治疗方法有哪些,1
非小细胞肺癌流行病学,社区获得性肺炎是什么？,0
qt间期延长,CompLEEment-1研究有哪些 QT 间期延长的结果,1
糖尿病可以吃花生吗,有糖尿病能吃花生吗,1
咳嗽变异性哮喘不能吃什么,咳嗽变异性哮喘是怎么回事,0
过敏性哮喘会不会引发生命危险,过敏性哮喘会不会导致死亡,1
奥希替尼指南推荐,利普卓/奥拉帕利是什么药，用于治疗什么疾病？,0
可善挺是否能用于泛发性脓刨病,司库奇尤单抗的适应症,1
心血管内容,心血管疾病的危险因素有哪些,0
慢性呼吸系统疾病饮食生活注意事项？,慢阻肺患者怎样进行肺功能康复训练？,0
CKD合并高血压,ARNI用于老年高血压患者，有何优势？,0
肺气肿吃什么药见效快.,肺气肿病有什么症状？,0
儿童银屑病,司库奇尤单抗治疗中国银屑病人群的结果,0
内分泌饮食注意事项,吃什么可以调节内分泌失调,1
肺气肿应该怎么治疗，应注意什么？,肺气肿应该怎样治疗？应注意些什么呢？,1
围绝经期牙齿松动,波依定是否可以掰开使用？,0
硝苯地平说明书,圣平说明书-贵州圣济堂制药,0
网脱怎么治疗,抗VEGF药物治疗DME相关指南及推荐级别,0
哮喘跟天气有关吗,过敏性鼻炎导致重症哮喘的可能机制？,0
司库奇尤单抗注意事项,哪些患者禁用司库奇尤单抗,0
nAMD指南,抗VEGF药物治疗近视性CNV相关指南及推荐级别,0
高血压引起的面瘫如何治疗,高血压导致面瘫怎么治疗,1
和艾滋病患者共同吃饭会被感染吗,和艾滋病人吃饭，会感染艾滋病吗,1
糖尿病人能否输葡萄糖的问题,预防糖尿病并发症措施,0
我想问下糖尿病人能不能吃避孕药？,我本身有糖尿病吃一次紧急避孕药是否有事,1
倍泽瑞每喷含有多少布地奈德,普米克®令舒®是治疗什么疾病的？,0
怎么区别鼻炎和上呼吸道感染?,怎么辨别鼻炎和上呼吸道感染?,1
贝伐单抗,雷珠单抗与其它抗VEGF药物分子特征比较,0
男人45岁空腹血糖14.5，请问吃什么降糖药好,糖尿病有什么危害,0
张学军指南直接使用生物制剂对临床影响,银屑病患者如何更换生物制剂,0
糖尿病人可吃火龙果吗,有糖尿病不能吃哪些东西,0
leizhu抗成分,雷珠单抗处方组成,1
@25984983824893508今天漏服了络活喜，血压一下子高了，怎么办,高血压能吃三七吗,0
安达唐是什么,安达唐主要成份是什么？,1
我好像感冒了，鼻子流水不留鼻涕怎么办,我好像感冒了，鼻子流水不留鼻涕怎样治,1
安立泽和安达唐的区别,泛福舒有哪些规格？,0
怎么判断乳腺癌早晚期,乳腺癌的治疗手段有哪些？,0
雷珠单抗双侧同时治疗风险最小化的注意事项,雷珠单抗双侧注射的注意事项,1
肺炎支原体阳性吃什么药？,肺炎支原体阳性患者该吃什么药？,1
什么人可以吃安达唐,安达唐的生产地在哪里？,0
检查血糖要空腹吗,糖尿病血糖高，晚上睡眠也不好怎么办,0
乳腺癌晚期治疗偏方,老妈糖尿病加乳腺癌晚期有没有什么偏方环节,1
高血压一直出汗怎么办,做体检能查出高血压吗常规,0
哺乳期妇女感冒吃什么药,哺乳期妇女感冒是病毒感染吗,0
乳腺癌有哪些药物治疗方案,关于乳腺癌的用药方案,1
常温有冷藏的情况下可善挺能用吗,司库奇尤单抗使用的贮存条件和有效期,1
请问糖尿病患者多吃蔬菜好吗？,糖尿病吃什么可以好那吃什么药可以降低血糖,0
一直流清水鼻涕打喷嚏吃什么药,一直流清鼻涕打喷嚏吃什么药效果好？,1
雷珠单抗三期临床说明书,妥布霉素滴眼液/眼膏,0
有艾滋病可以性生活吗,艾滋病人可以有性生活吗,1
我这个呼气的时候困难用什么药好些,什么是儿童反复呼吸道感染？,0
请问胸膜炎伴积水是否严重？,请问胸膜炎伴积水吃什么药好？,0
蚊子会传染乙肝吗：急急急急急,蚊子是否会传播乙肝病毒,1
如何形成的乳腺癌,乳腺癌形成的诱因有哪些,1
藿香正气口服液和感冒药一样吗,藿香正气口服液和感冒药能一起服用吗,1
乳腺癌手术后还能活多久,乳腺癌手术后复发能活多久,0
Ⅲ度房室传导阻滞,一度心房传导阻滞,0
孕妇感冒吃什么药比较好,孕妇感冒吃哪种感冒药效果好,1
Fda说明书,雷珠单抗美国FDA说明书,1
强制性脊柱炎症状,停药后复发的强直性脊柱炎患者，再次使用司库奇尤单抗是否有效,0
雷珠单抗商品名,雷珠单抗作用机制,0
体检哪些项目可以检查糖尿病,糖尿病肾病的症状是什么,0
糖尿病需要终身吃药吗,糖尿病人终身服药吗,1
患有了肺气肿了，该怎么治疗,得了肺气肿怎么办,1
，房颤病人日常生活要注意什么?,主动脉导管未闭患者在日常生活的注意事项,0
PRN治疗,治疗和观察治疗方案,0
硝苯地平片说明书,替米沙坦胶囊说明书-河南润弘制药股份,0
圣泰清热解毒口服液在医院买的比较贵吗,圣泰清热解毒口服液成分是什么,0
达格列净的心衰原理,普米克®令舒®的体内如何代谢？,0
瑞波西利使用注意事项,Ribociclib如何进行剂量减少,0
感冒发烧能用司库奇尤单抗注射液治疗吗？,JUNCTURE研究,0
阿达木和可善挺都是全人源的，为啥阿达木产生抗药抗体几率比可善挺的大的多,司库奇尤单抗与目前几种IL-17拮抗剂在结构上的区别,0
糖尿病人可不可以吃蜂蜜啊？,请问：糖尿病人可以喝蜂蜜吗？谢谢,1
哮喘患者的生活饮食需注意什么,慢阻肺的营养饮食?,1
肺炎支原体真的会传染吗?,肺炎支原体怎么治疗最好,0
儿童强直性脊柱炎患者可以用司库奇尤单抗吗,司库奇尤单抗是否可以用于儿童银屑病患者,0
过期的化痰消咳片对感冒咳嗽还有作用吗,已经过期的化痰消咳片还能治疗感冒咳嗽吗,1
动脉内皮细胞通透性,沙库巴曲缬沙坦在接受透析或血液透析的患者中的信息,0
糖尿病是药物治疗好还是胰岛素治疗好,糖尿病是吃药治疗好还是胰岛素治疗好,1
治疗艾滋病哪个医院比较好,我想治疗艾滋病，在哪家医院冶,1
博利康尼有片剂吗,利普卓/奥拉帕利能在哪买到？,0
昨天忘记吃瑞波西利了今天要补吗,Ribociclib 忘记服药或者服药后呕吐，是否需要再服？,1
发热的患者可以用泛福舒吗？,什么情况不能用泛福舒？,1
急性咽喉炎上呼吸道感染多久可以好,急性咽喉炎上呼吸道感染多久能痊愈呢？,1
睾丸癌NCCN指南,胰岛β细胞功能是什么？,0
怎么判定妊娠糖尿病,如何判断妊娠糖尿病,1
安达唐降低UACR评分,诺雷得治疗乳腺癌的疗效如何？,0
高血压能生小孩吗,有高血压可以生育吗？,1
失眠治疗,治疗失眠病人的最好方法,1
有没有不带针头的胰岛素注射器？,糖尿病胰岛素注射部位,0
卒中怎么治,高血压脑出血手术方法,0
肾囊肿可以服用百令胶囊吗？,肾囊肿是否可以吃百令胶囊？,1
乙肝 司库奇尤单抗,伴有肝炎（乙肝、丙肝）感染风险的患者使用司库奇尤单抗的注意事项,1
尿检糖大于300是糖尿病吗,请问我的这些症状会不会是糖尿病？,0
请问老人肺气肿为什么冬天咳嗽得很厉害？,老人肺气肿冬天咳嗽的更厉害的原因是什么？,1
各药物对比,雷珠单抗个体化给药剂量,0
支气管炎属于上呼吸道感染吗？,支气管炎是上呼吸道感染吗？,1
要是孕妇感冒了吃什么好？？,吃什么对孕妇感冒好,1
琥乙红霉素片是消炎药吗,琥乙红霉素颗粒是不是消炎药,1
瑞舒伐他汀联用血脂康文献,可定治疗高胆固醇血症的机理是什么？,0
哮喘的临床分期,什么是重度哮喘？,1
可善挺可以用于儿童吗？,哪些患者禁用司库奇尤单抗,1
这种情况有可能会感染上艾滋病吗,像这种情况能感染艾滋病吗,1
孩子总是感冒发烧怎么办,孩子老感冒发烧需要采取什么方法,1
糖尿病人会有什么并发症,请问大夫，我是患糖尿病了吗？,0
